job_id,task,target_column,horizon_windows,family,candidate_id,preprocessing_family,primary_metric,fold_count,successful_folds,status,mean_macro_f1,std_macro_f1,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_accuracy,std_accuracy,fit_seconds,prediction_seconds,failure,parameters_json,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
congestion_h4,congestion,target_congestion_h4,4,random_forest,forest_balanced,tree,macro_f1,5,5,success,0.6297798554,0.036865221,0.6475239072,0.0306495627,0.6329509474,0.0441302954,0.7835106139,0.0288218806,0.422722,0.393957,,"{""max_depth"":12,""max_features"":0.7,""min_samples_leaf"":6,""n_estimators"":24}",,,,
congestion_h4,congestion,target_congestion_h4,4,random_forest,forest_deep,tree,macro_f1,5,5,success,0.6134167265,0.0347595441,0.6477106328,0.0349071272,0.6084740034,0.0389991754,0.7842794033,0.0247912374,0.663487,0.402471,,"{""max_depth"":18,""max_features"":0.9,""min_samples_leaf"":3,""n_estimators"":48}",,,,
congestion_h4,congestion,target_congestion_h4,4,xgboost,xgb_balanced,tree,macro_f1,5,5,success,0.6093451888,0.035492613,0.6128029401,0.046542594,0.622893279,0.0327926087,0.7577076879,0.0139126296,0.407575,0.227397,,"{""colsample_bytree"":1.0,""learning_rate"":0.1,""max_depth"":4,""min_child_weight"":5,""n_estimators"":40,""subsample"":1.0}",,,,
congestion_h4,congestion,target_congestion_h4,4,xgboost,xgb_deep,tree,macro_f1,5,5,success,0.6039351467,0.044114995,0.6204143767,0.0581498196,0.6091623044,0.0410082455,0.766555938,0.0227393186,0.843331,0.222446,,"{""colsample_bytree"":1.0,""learning_rate"":0.06,""max_depth"":6,""min_child_weight"":3,""n_estimators"":64,""subsample"":1.0}",,,,
congestion_h4,congestion,target_congestion_h4,4,svm,svm_regularized,svm,macro_f1,5,5,success,0.5268958565,0.0259165453,0.534286782,0.0322727434,0.5440796289,0.0333487752,0.7108069421,0.0201950688,0.251794,0.107847,,"{""C"":0.1,""max_iter"":5000,""tol"":0.001}",,,,
congestion_h4,congestion,target_congestion_h4,4,svm,svm_default,svm,macro_f1,5,5,success,0.5262441014,0.0231959209,0.5363176644,0.0299480117,0.5399617477,0.0270685918,0.7134526678,0.0183161117,0.292394,0.110395,,"{""C"":1.0,""max_iter"":5000,""tol"":0.001}",,,,
accident_h1,accident,target_accident_h1,1,decision_tree,tree_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.180995,0.201695,,"{""max_depth"":10,""min_samples_leaf"":12}",0.5200190946,0.0115994631,0.0109890798,0.0024211663
accident_h1,accident,target_accident_h1,1,decision_tree,tree_deep,tree,roc_auc,5,5,success,,,,,,,,,0.180431,0.200419,,"{""max_depth"":16,""min_samples_leaf"":6}",0.502465446,0.0055409944,0.0105737541,0.0023053593
accident_h1,accident,target_accident_h1,1,random_forest,forest_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.384692,0.390448,,"{""max_depth"":12,""max_features"":0.7,""min_samples_leaf"":6,""n_estimators"":24}",0.5735234147,0.0286140619,0.0139133959,0.0038541546
accident_h1,accident,target_accident_h1,1,random_forest,forest_deep,tree,roc_auc,5,5,success,,,,,,,,,0.630668,0.395621,,"{""max_depth"":18,""max_features"":0.9,""min_samples_leaf"":3,""n_estimators"":48}",0.5554969027,0.0283137471,0.0132882664,0.0028881353
accident_h1,accident,target_accident_h1,1,xgboost,xgb_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.209458,0.200641,,"{""colsample_bytree"":1.0,""learning_rate"":0.1,""max_depth"":4,""min_child_weight"":5,""n_estimators"":40,""subsample"":1.0}",0.5624929442,0.0321912017,0.0140746028,0.0053836651
accident_h1,accident,target_accident_h1,1,xgboost,xgb_deep,tree,roc_auc,5,5,success,,,,,,,,,0.27754,0.262963,,"{""colsample_bytree"":1.0,""learning_rate"":0.06,""max_depth"":6,""min_child_weight"":3,""n_estimators"":64,""subsample"":1.0}",0.5662102859,0.0274263421,0.0130108246,0.0032477498
accident_h1,accident,target_accident_h1,1,svm,svm_regularized,svm,roc_auc,5,5,success,,,,,,,,,0.182656,0.102009,,"{""C"":0.1,""max_iter"":5000,""tol"":0.001}",0.5326621042,0.0563276169,0.0120523204,0.0030723416
accident_h1,accident,target_accident_h1,1,svm,svm_default,svm,roc_auc,5,5,success,,,,,,,,,0.21601,0.109016,,"{""C"":1.0,""max_iter"":5000,""tol"":0.001}",0.5283294237,0.0532567635,0.0116097501,0.0032652025
accident_h2,accident,target_accident_h2,2,decision_tree,tree_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.176879,0.201976,,"{""max_depth"":10,""min_samples_leaf"":12}",0.4978605143,0.0085720422,0.0099329793,0.0016719996
accident_h2,accident,target_accident_h2,2,decision_tree,tree_deep,tree,roc_auc,5,5,success,,,,,,,,,0.182417,0.202362,,"{""max_depth"":16,""min_samples_leaf"":6}",0.4930623399,0.008540335,0.0098059143,0.0015673319
accident_h2,accident,target_accident_h2,2,random_forest,forest_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.393415,0.404728,,"{""max_depth"":12,""max_features"":0.7,""min_samples_leaf"":6,""n_estimators"":24}",0.5076903742,0.0343223086,0.0114705302,0.00255561
accident_h2,accident,target_accident_h2,2,random_forest,forest_deep,tree,roc_auc,5,5,success,,,,,,,,,0.61077,0.380527,,"{""max_depth"":18,""max_features"":0.9,""min_samples_leaf"":3,""n_estimators"":48}",0.5206784613,0.0239778879,0.0113572288,0.0023450194
accident_h2,accident,target_accident_h2,2,xgboost,xgb_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.211049,0.197208,,"{""colsample_bytree"":1.0,""learning_rate"":0.1,""max_depth"":4,""min_child_weight"":5,""n_estimators"":40,""subsample"":1.0}",0.5121499844,0.0430647122,0.0112733835,0.0027150251
accident_h2,accident,target_accident_h2,2,xgboost,xgb_deep,tree,roc_auc,5,5,success,,,,,,,,,0.277061,0.201314,,"{""colsample_bytree"":1.0,""learning_rate"":0.06,""max_depth"":6,""min_child_weight"":3,""n_estimators"":64,""subsample"":1.0}",0.4972853745,0.0394515005,0.0105958319,0.0026292259
