job_id,split,threshold,precision,recall,f1,predicted_positive_rows,selected
accident_h1,validation_assessment,0.0120776202,0.0212912088,0.2520325203,0.0392653578,1456,False
accident_h1,validation_assessment,0.0122041193,0.0215827338,0.243902439,0.039656312,1390,False
accident_h1,validation_assessment,0.0123488838,0.0226586103,0.243902439,0.0414651002,1324,False
accident_h1,validation_assessment,0.0124919978,0.0238663484,0.243902439,0.0434782609,1257,False
accident_h1,validation_assessment,0.0126226793,0.0251889169,0.243902439,0.0456621005,1191,False
accident_h1,validation_assessment,0.0127887071,0.0257777778,0.2357723577,0.046474359,1125,False
accident_h1,validation_assessment,0.0129584196,0.0273843248,0.2357723577,0.0490693739,1059,False
accident_h1,validation_assessment,0.0131849673,0.0271903323,0.2195121951,0.0483870968,993,False
accident_h1,validation_assessment,0.0133277157,0.0280474649,0.2113821138,0.0495238095,927,True
accident_h1,validation_assessment,0.0135098925,0.0278745645,0.1951219512,0.0487804878,861,False
accident_h1,validation_assessment,0.0136692511,0.0264483627,0.1707317073,0.0458015267,794,False
accident_h1,validation_assessment,0.013883407,0.0288461538,0.1707317073,0.0493537015,728,False
accident_h1,validation_assessment,0.0141299198,0.0256797583,0.1382113821,0.0433121019,662,False
accident_h1,validation_assessment,0.0143479336,0.0251677852,0.1219512195,0.0417246175,596,False
accident_h1,validation_assessment,0.0145909236,0.0283018868,0.1219512195,0.045941807,530,False
accident_h1,validation_assessment,0.0148786891,0.0237068966,0.0894308943,0.0374787053,464,False
accident_h1,validation_assessment,0.0151675756,0.0176322418,0.0569105691,0.0269230769,397,False
accident_h1,validation_assessment,0.0155730355,0.0181268882,0.0487804878,0.0264317181,331,False
accident_h1,validation_assessment,0.0159541752,0.0188679245,0.0406504065,0.0257731959,265,False
accident_h1,validation_assessment,0.0167293086,0.0201005025,0.0325203252,0.0248447205,199,False
accident_h1,validation_assessment,0.017490799,0.015037594,0.0162601626,0.015625,133,False
accident_h1,validation_assessment,0.0188024558,0.0149253731,0.0081300813,0.0105263158,67,False
accident_h1,validation_assessment,0.02636192,0,0,0,1,False
accident_h1,validation_assessment,0.5,0,0,0,0,False
accident_h2,validation_assessment,0.001437895,0.0092956469,1,0.0184200674,13232,False
accident_h2,validation_assessment,0.0047072466,0.0092669958,0.9918699187,0.0183624323,13165,False
accident_h2,validation_assessment,0.0050403198,0.0093136881,0.9918699187,0.0184540917,13099,False
accident_h2,validation_assessment,0.0052118353,0.0092841249,0.9837398374,0.0183946488,13033,False
accident_h2,validation_assessment,0.005410679,0.0092542608,0.9756097561,0.0183346066,12967,False
accident_h2,validation_assessment,0.0055621703,0.0093016045,0.9756097561,0.0184275184,12901,False
accident_h2,validation_assessment,0.0056843387,0.0092715232,0.9674796748,0.0183670319,12835,False
accident_h2,validation_assessment,0.0057757257,0.0092418546,0.9593495935,0.0183073462,12768,False
accident_h2,validation_assessment,0.0058408577,0.0092111479,0.9512195122,0.018245614,12702,False
accident_h2,validation_assessment,0.0059091092,0.0091801203,0.9430894309,0.0181832432,12636,False
accident_h2,validation_assessment,0.0059637997,0.0092283214,0.9430894309,0.0182777909,12570,False
accident_h2,validation_assessment,0.0060168263,0.0091970569,0.9349593496,0.0182149362,12504,False
accident_h2,validation_assessment,0.0060595967,0.0091654607,0.9268292683,0.0181514211,12438,False
accident_h2,validation_assessment,0.0061141878,0.0092150998,0.9268292683,0.0182487594,12371,False
accident_h2,validation_assessment,0.006153735,0.0091832588,0.918699187,0.0181847441,12305,False
accident_h2,validation_assessment,0.0062032854,0.0092327805,0.918699187,0.0182818314,12239,False
accident_h2,validation_assessment,0.0062456077,0.0092828391,0.918699187,0.018379961,12173,False
accident_h2,validation_assessment,0.0062861031,0.0092508466,0.9105691057,0.0183156173,12107,False
accident_h2,validation_assessment,0.0063242003,0.009301553,0.9105691057,0.0184149951,12041,False
