job_id,target,target_column,horizon_windows,family,candidate_id,fold,status,failure,full_training_rows,sampled_training_rows,sampled_training_timestamps,validation_rows,training_origin_start,training_origin_end,maximum_training_target_timestamp,validation_origin_start,validation_origin_end,rows,rmse,mae,mape_percent,r_squared,mape_nonzero_rows,mape_zero_actual_rows,fit_seconds,prediction_seconds
volume_h1,volume,target_volume_h1,1,random_forest,forest_deep,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,94.2471001503,59.3808181978,13.5851084003,0.8971395278,8375,0,0.075791,0.040665
volume_h1,volume,target_volume_h1,1,xgboost,xgb_balanced,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,84.4011289715,58.0093482199,19.4005276419,0.9123396672,8400,0,0.147669,0.02188
volume_h1,volume,target_volume_h1,1,xgboost,xgb_balanced,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,79.8953448067,55.4344013505,14.1173235575,0.9168508763,8400,0,0.049755,0.021785
volume_h1,volume,target_volume_h1,1,xgboost,xgb_balanced,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,81.9049380093,56.9745982361,13.721310236,0.9186480485,8400,0,0.04071,0.024178
volume_h1,volume,target_volume_h1,1,xgboost,xgb_balanced,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,74.5835654386,53.8952655865,17.5817244575,0.9097701321,8400,0,0.04151,0.021566
volume_h1,volume,target_volume_h1,1,xgboost,xgb_balanced,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,101.231220057,63.8505550756,16.1649332251,0.8813298578,8375,0,0.042957,0.023175
volume_h1,volume,target_volume_h1,1,xgboost,xgb_deep,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:00:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,83.4058364095,57.4001119377,19.2813906177,0.91439493,8400,0,0.06978,0.02102
volume_h1,volume,target_volume_h1,1,xgboost,xgb_deep,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:00:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,78.7619612735,54.9671416228,14.2275184924,0.9191932258,8400,0,0.061643,0.019974
volume_h1,volume,target_volume_h1,1,xgboost,xgb_deep,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:00:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,81.7130044157,56.950134687,13.7996552677,0.9190288772,8400,0,0.05482,0.01906
volume_h1,volume,target_volume_h1,1,xgboost,xgb_deep,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:00:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,73.7651779075,53.5890390678,17.6430634414,0.9117394095,8400,0,0.104023,0.022771
volume_h1,volume,target_volume_h1,1,xgboost,xgb_deep,5,success,,118350,2400,96,8375,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:00:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T16:00:00+05:30,8375,102.012003591,64.131319827,16.3271607026,0.8794922229,8375,0,0.058994,0.020451
volume_h2,volume,target_volume_h2,2,linear_regression,linear_default,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:30:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,108.793863831,81.7700557738,27.4723858369,0.8540012068,8400,0,0.032142,0.019523
volume_h2,volume,target_volume_h2,2,linear_regression,linear_default,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:30:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,100.002452603,74.7021911222,21.1900069361,0.8698250771,8400,0,0.033381,0.020866
volume_h2,volume,target_volume_h2,2,linear_regression,linear_default,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:30:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,108.038421068,83.4098893122,23.5509046155,0.8583770283,8400,0,0.032015,0.018671
volume_h2,volume,target_volume_h2,2,linear_regression,linear_default,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:30:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,100.291861347,74.7741096693,24.2147268167,0.8354468294,8400,0,0.031287,0.020968
volume_h2,volume,target_volume_h2,2,linear_regression,linear_default,5,success,,118350,2400,96,8350,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:30:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T15:30:00+05:30,8350,116.687195631,86.277695425,26.1093555573,0.8424076887,8350,0,0.031807,0.020135
volume_h2,volume,target_volume_h2,2,decision_tree,tree_balanced,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:30:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,120.838384165,79.5464704396,22.0185936302,0.8198848341,8400,0,0.040694,0.020032
