model_version,horizon_windows,horizon_minutes,split,dimension,slice_value,actual_label,predicted_label,rows
classical_classification_v1,1,30,test,road_id,NL-010,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-010,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-010,Moderate,Free-flow,21
classical_classification_v1,1,30,test,road_id,NL-010,Moderate,Moderate,176
classical_classification_v1,1,30,test,road_id,NL-010,Moderate,Heavy,27
classical_classification_v1,1,30,test,road_id,NL-010,Moderate,Severe,1
classical_classification_v1,1,30,test,road_id,NL-010,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-010,Heavy,Moderate,9
classical_classification_v1,1,30,test,road_id,NL-010,Heavy,Heavy,62
classical_classification_v1,1,30,test,road_id,NL-010,Heavy,Severe,23
classical_classification_v1,1,30,test,road_id,NL-010,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-010,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-010,Severe,Heavy,13
classical_classification_v1,1,30,test,road_id,NL-010,Severe,Severe,53
classical_classification_v1,1,30,test,road_id,NL-011,Free-flow,Free-flow,685
classical_classification_v1,1,30,test,road_id,NL-011,Free-flow,Moderate,31
classical_classification_v1,1,30,test,road_id,NL-011,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-011,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-011,Moderate,Free-flow,11
classical_classification_v1,1,30,test,road_id,NL-011,Moderate,Moderate,173
classical_classification_v1,1,30,test,road_id,NL-011,Moderate,Heavy,33
classical_classification_v1,1,30,test,road_id,NL-011,Moderate,Severe,1
classical_classification_v1,1,30,test,road_id,NL-011,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-011,Heavy,Moderate,10
classical_classification_v1,1,30,test,road_id,NL-011,Heavy,Heavy,59
classical_classification_v1,1,30,test,road_id,NL-011,Heavy,Severe,27
classical_classification_v1,1,30,test,road_id,NL-011,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-011,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-011,Severe,Heavy,18
classical_classification_v1,1,30,test,road_id,NL-011,Severe,Severe,38
classical_classification_v1,1,30,test,road_id,NL-012,Free-flow,Free-flow,538
classical_classification_v1,1,30,test,road_id,NL-012,Free-flow,Moderate,43
classical_classification_v1,1,30,test,road_id,NL-012,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-012,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-012,Moderate,Free-flow,14
classical_classification_v1,1,30,test,road_id,NL-012,Moderate,Moderate,273
classical_classification_v1,1,30,test,road_id,NL-012,Moderate,Heavy,20
classical_classification_v1,1,30,test,road_id,NL-012,Moderate,Severe,1
classical_classification_v1,1,30,test,road_id,NL-012,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-012,Heavy,Moderate,25
classical_classification_v1,1,30,test,road_id,NL-012,Heavy,Heavy,70
classical_classification_v1,1,30,test,road_id,NL-012,Heavy,Severe,31
classical_classification_v1,1,30,test,road_id,NL-012,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-012,Severe,Moderate,1
classical_classification_v1,1,30,test,road_id,NL-012,Severe,Heavy,27
classical_classification_v1,1,30,test,road_id,NL-012,Severe,Severe,43
classical_classification_v1,1,30,test,road_id,NL-013,Free-flow,Free-flow,539
classical_classification_v1,1,30,test,road_id,NL-013,Free-flow,Moderate,33
classical_classification_v1,1,30,test,road_id,NL-013,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-013,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-013,Moderate,Free-flow,14
classical_classification_v1,1,30,test,road_id,NL-013,Moderate,Moderate,281
classical_classification_v1,1,30,test,road_id,NL-013,Moderate,Heavy,21
classical_classification_v1,1,30,test,road_id,NL-013,Moderate,Severe,0
classical_classification_v1,1,30,test,road_id,NL-013,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-013,Heavy,Moderate,32
classical_classification_v1,1,30,test,road_id,NL-013,Heavy,Heavy,65
classical_classification_v1,1,30,test,road_id,NL-013,Heavy,Severe,21
classical_classification_v1,1,30,test,road_id,NL-013,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-013,Severe,Moderate,1
classical_classification_v1,1,30,test,road_id,NL-013,Severe,Heavy,18
classical_classification_v1,1,30,test,road_id,NL-013,Severe,Severe,61
classical_classification_v1,1,30,test,road_id,NL-014,Free-flow,Free-flow,696
classical_classification_v1,1,30,test,road_id,NL-014,Free-flow,Moderate,39
classical_classification_v1,1,30,test,road_id,NL-014,Free-flow,Heavy,2
classical_classification_v1,1,30,test,road_id,NL-014,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-014,Moderate,Free-flow,15
classical_classification_v1,1,30,test,road_id,NL-014,Moderate,Moderate,155
classical_classification_v1,1,30,test,road_id,NL-014,Moderate,Heavy,27
classical_classification_v1,1,30,test,road_id,NL-014,Moderate,Severe,1
classical_classification_v1,1,30,test,road_id,NL-014,Heavy,Free-flow,1
classical_classification_v1,1,30,test,road_id,NL-014,Heavy,Moderate,14
classical_classification_v1,1,30,test,road_id,NL-014,Heavy,Heavy,64
classical_classification_v1,1,30,test,road_id,NL-014,Heavy,Severe,17
classical_classification_v1,1,30,test,road_id,NL-014,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-014,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-014,Severe,Heavy,15
classical_classification_v1,1,30,test,road_id,NL-014,Severe,Severe,40
classical_classification_v1,1,30,test,road_id,NL-015,Free-flow,Free-flow,537
classical_classification_v1,1,30,test,road_id,NL-015,Free-flow,Moderate,36
classical_classification_v1,1,30,test,road_id,NL-015,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-015,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-015,Moderate,Free-flow,21
classical_classification_v1,1,30,test,road_id,NL-015,Moderate,Moderate,280
classical_classification_v1,1,30,test,road_id,NL-015,Moderate,Heavy,22
classical_classification_v1,1,30,test,road_id,NL-015,Moderate,Severe,1
classical_classification_v1,1,30,test,road_id,NL-015,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-015,Heavy,Moderate,30
classical_classification_v1,1,30,test,road_id,NL-015,Heavy,Heavy,63
classical_classification_v1,1,30,test,road_id,NL-015,Heavy,Severe,39
classical_classification_v1,1,30,test,road_id,NL-015,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-015,Severe,Moderate,1
classical_classification_v1,1,30,test,road_id,NL-015,Severe,Heavy,21
classical_classification_v1,1,30,test,road_id,NL-015,Severe,Severe,35
classical_classification_v1,1,30,test,road_id,NL-016,Free-flow,Free-flow,617
classical_classification_v1,1,30,test,road_id,NL-016,Free-flow,Moderate,38
classical_classification_v1,1,30,test,road_id,NL-016,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-016,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-016,Moderate,Free-flow,33
classical_classification_v1,1,30,test,road_id,NL-016,Moderate,Moderate,193
classical_classification_v1,1,30,test,road_id,NL-016,Moderate,Heavy,26
classical_classification_v1,1,30,test,road_id,NL-016,Moderate,Severe,2
classical_classification_v1,1,30,test,road_id,NL-016,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-016,Heavy,Moderate,19
classical_classification_v1,1,30,test,road_id,NL-016,Heavy,Heavy,63
classical_classification_v1,1,30,test,road_id,NL-016,Heavy,Severe,39
classical_classification_v1,1,30,test,road_id,NL-016,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-016,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-016,Severe,Heavy,14
classical_classification_v1,1,30,test,road_id,NL-016,Severe,Severe,42
classical_classification_v1,1,30,test,road_id,NL-017,Free-flow,Free-flow,685
classical_classification_v1,1,30,test,road_id,NL-017,Free-flow,Moderate,31
classical_classification_v1,1,30,test,road_id,NL-017,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-017,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-017,Moderate,Free-flow,15
classical_classification_v1,1,30,test,road_id,NL-017,Moderate,Moderate,175
classical_classification_v1,1,30,test,road_id,NL-017,Moderate,Heavy,22
classical_classification_v1,1,30,test,road_id,NL-017,Moderate,Severe,3
classical_classification_v1,1,30,test,road_id,NL-017,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-017,Heavy,Moderate,16
classical_classification_v1,1,30,test,road_id,NL-017,Heavy,Heavy,65
classical_classification_v1,1,30,test,road_id,NL-017,Heavy,Severe,26
classical_classification_v1,1,30,test,road_id,NL-017,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-017,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-017,Severe,Heavy,8
classical_classification_v1,1,30,test,road_id,NL-017,Severe,Severe,40
classical_classification_v1,1,30,test,road_id,NL-018,Free-flow,Free-flow,563
classical_classification_v1,1,30,test,road_id,NL-018,Free-flow,Moderate,60
classical_classification_v1,1,30,test,road_id,NL-018,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-018,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-018,Moderate,Free-flow,26
classical_classification_v1,1,30,test,road_id,NL-018,Moderate,Moderate,246
classical_classification_v1,1,30,test,road_id,NL-018,Moderate,Heavy,29
classical_classification_v1,1,30,test,road_id,NL-018,Moderate,Severe,0
classical_classification_v1,1,30,test,road_id,NL-018,Heavy,Free-flow,1
classical_classification_v1,1,30,test,road_id,NL-018,Heavy,Moderate,16
classical_classification_v1,1,30,test,road_id,NL-018,Heavy,Heavy,62
