task,horizon_windows,horizon_minutes,split,model_version,reliability_type,bin_index,bin_lower,bin_upper,rows,mean_probability,observed_rate,absolute_gap,expected_calibration_error
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,2,0.2,0.3,0,,,,0.000267374154405
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,3,0.3,0.4,0,,,,0.000267374154405
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,4,0.4,0.5,0,,,,0.000267374154405
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,5,0.5,0.6,0,,,,0.000267374154405
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,6,0.6,0.7,0,,,,0.000267374154405
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,7,0.7,0.8,0,,,,0.000267374154405
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,8,0.8,0.9,0,,,,0.000267374154405
accident,4,120,validation,classical_classification_v1,accident_probability_vs_event,9,0.9,1,0,,,,0.000267374154405
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,0,0,0.1,0,,,,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,1,0.1,0.2,0,,,,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,2,0.2,0.3,0,,,,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,3,0.3,0.4,16,0.373054541264,0.3125,0.0605545412635,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,4,0.4,0.5,321,0.480077160889,0.479750778816,0.000326382072663,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,5,0.5,0.6,2619,0.549936968159,0.543718976709,0.00621799145022,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,6,0.6,0.7,2578,0.64938740559,0.636152055857,0.0132353497331,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,7,0.7,0.8,2680,0.751243736088,0.753731343284,0.00248760719602,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,8,0.8,0.9,3643,0.851527433028,0.856986000549,0.00545856752108,0.00288634075062
congestion,1,30,test,classical_classification_v1,confidence_vs_correctness,9,0.9,1,15293,0.986616916896,0.986595174263,2.17426331638e-05,0.00288634075062
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,0,0,0.1,0,,,,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,1,0.1,0.2,0,,,,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,2,0.2,0.3,0,,,,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,3,0.3,0.4,12,0.375383775276,0.333333333333,0.0420504419422,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,4,0.4,0.5,311,0.479453700797,0.485530546624,0.00607684582639,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,5,0.5,0.6,2705,0.550464318262,0.556377079482,0.00591276122073,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,6,0.6,0.7,2508,0.649608891525,0.645534290271,0.00407460125407,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,7,0.7,0.8,2691,0.751207723276,0.745819397993,0.00538832528231,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,8,0.8,0.9,3430,0.852024857363,0.820408163265,0.0316166940979,0.00597112311838
congestion,1,30,validation,classical_classification_v1,confidence_vs_correctness,9,0.9,1,15493,0.986869110254,0.986187310398,0.000681799856117,0.00597112311838
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,0,0,0.1,0,,,,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,1,0.1,0.2,0,,,,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,2,0.2,0.3,0,,,,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,3,0.3,0.4,4,0.382923591301,1,0.617076408699,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,4,0.4,0.5,518,0.477340096803,0.469111969112,0.00822812769103,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,5,0.5,0.6,1564,0.547890882316,0.504475703325,0.0434151789916,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,6,0.6,0.7,1610,0.650778968611,0.607453416149,0.0433255524621,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,7,0.7,0.8,2480,0.752709606961,0.638306451613,0.114403155348,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,8,0.8,0.9,5500,0.857146139966,0.778363636364,0.0787825036023,0.0538602801091
congestion,2,60,test,classical_classification_v1,confidence_vs_correctness,9,0.9,1,15449,0.949087284116,0.987895656677,0.0388083725611,0.0538602801091
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,0,0,0.1,0,,,,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,1,0.1,0.2,0,,,,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,2,0.2,0.3,0,,,,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,3,0.3,0.4,3,0.374173908174,0.666666666667,0.292492758492,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,4,0.4,0.5,550,0.475894126889,0.472727272727,0.00316685416159,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,5,0.5,0.6,1588,0.548501000705,0.519521410579,0.0289795901255,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,6,0.6,0.7,1651,0.652306837751,0.625681405209,0.0266254325418,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,7,0.7,0.8,2540,0.75145115378,0.647637795276,0.103813358504,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,8,0.8,0.9,5523,0.856910213431,0.772587361941,0.0843228514896,0.0520403721234
congestion,2,60,validation,classical_classification_v1,confidence_vs_correctness,9,0.9,1,15270,0.949731720487,0.988343156516,0.0386114360288,0.0520403721234
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,0,0,0.1,0,,,,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,1,0.1,0.2,0,,,,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,2,0.2,0.3,0,,,,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,3,0.3,0.4,1,0.355126709096,1,0.644873290904,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,4,0.4,0.5,552,0.480406686183,0.489130434783,0.00872374859984,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,5,0.5,0.6,1639,0.548173890348,0.490543014033,0.0576308763152,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,6,0.6,0.7,1875,0.655594136882,0.610133333333,0.0454608035487,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,7,0.7,0.8,2551,0.751440825998,0.656605252842,0.094835573156,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,8,0.8,0.9,4766,0.860036984224,0.772975241292,0.0870617429317,0.051489282614
congestion,3,90,test,classical_classification_v1,confidence_vs_correctness,9,0.9,1,15716,0.950410960203,0.985619750573,0.03520879037,0.051489282614
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,0,0,0.1,0,,,,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,1,0.1,0.2,0,,,,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,2,0.2,0.3,0,,,,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,3,0.3,0.4,8,0.329667678716,0.25,0.0796676787157,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,4,0.4,0.5,534,0.479324506054,0.496254681648,0.0169301755941,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,5,0.5,0.6,1583,0.548169013476,0.513581806696,0.03458720678,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,6,0.6,0.7,1933,0.657015675927,0.608380755303,0.0486349206246,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,7,0.7,0.8,2639,0.751745015826,0.663129973475,0.0886150423511,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,8,0.8,0.9,4964,0.859658502947,0.780620467365,0.0790380355823,0.0491083057642
congestion,3,90,validation,classical_classification_v1,confidence_vs_correctness,9,0.9,1,15439,0.950955743525,0.986333311743,0.0353775682179,0.0491083057642
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,0,0,0.1,0,,,,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,1,0.1,0.2,0,,,,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,2,0.2,0.3,0,,,,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,3,0.3,0.4,1,0.385644105724,0,0.385644105724,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,4,0.4,0.5,186,0.486137952403,0.451612903226,0.0345250491768,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,5,0.5,0.6,1758,0.554709265209,0.497155858931,0.0575534062789,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,6,0.6,0.7,1668,0.648987544549,0.552158273381,0.0968292711678,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,7,0.7,0.8,2248,0.750844945253,0.679715302491,0.071129642762,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,8,0.8,0.9,4901,0.857507218962,0.744541930218,0.112965288744,0.0602379748777
congestion,4,120,test,classical_classification_v1,confidence_vs_correctness,9,0.9,1,16313,0.944651294247,0.984368295225,0.0397170009778,0.0602379748777
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,0,0,0.1,0,,,,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,1,0.1,0.2,0,,,,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,2,0.2,0.3,1,0.286510448624,1,0.713489551376,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,3,0.3,0.4,84,0.357302468794,0.547619047619,0.190316578825,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,4,0.4,0.5,226,0.474705855696,0.37610619469,0.0985996610062,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,5,0.5,0.6,1782,0.554360196191,0.466891133558,0.087469062633,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,6,0.6,0.7,1800,0.649428228336,0.539444444444,0.109983783891,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,7,0.7,0.8,2276,0.752383064414,0.658611599297,0.0937714651165,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,8,0.8,0.9,4903,0.858360576587,0.754843973078,0.10351660351,0.0634988415308
congestion,4,120,validation,classical_classification_v1,confidence_vs_correctness,9,0.9,1,16003,0.945295189236,0.983128163469,0.0378329742334,0.0634988415308
