task_type,model_version,target,horizon_windows,horizon_minutes,split,dimension,slice_value,rows,positive_rows,sufficient_support,rmse,mae,mape_percent,r_squared,bias,residual_standard_deviation,residual_q10,residual_median,residual_q90,interval_coverage,mean_interval_width,task,accuracy,precision,recall,f1,roc_auc,pr_auc,prevalence,mean_confidence,mean_normalized_entropy,macro_precision,macro_recall,macro_f1
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-001,1086,,True,3.7868595251,2.784864586,8.7626957306,0.8892792358,-0.131944542571,3.78456017263,-4.21062394978,-0.233508495738,4.27399348351,0.902394106814,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-002,1086,,True,3.7895017436,2.8740420421,9.052512409,0.8892123713,0.0410288293515,3.78927962811,-4.46328957506,0.066917224863,4.44286449662,0.900552486188,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-003,1086,,True,3.9073804213,2.9312091817,10.0351192384,0.8871998673,0.387596128567,3.88810892307,-4.10173013472,0.327832465623,5.25383386785,0.883977900552,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-004,1086,,True,3.9465150603,2.9916047081,9.9156686077,0.8802735826,0.372379151229,3.92890759485,-4.24097055717,0.476858798837,4.79407547055,0.89226519337,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-005,1086,,True,3.7774599709,2.8489794138,9.7771885038,0.8977722107,0.658707880378,3.71958435315,-3.62199421739,0.520891004713,5.25418563319,0.887661141805,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-006,1086,,True,3.9942563761,3.0103572647,9.9329367066,0.8792591139,0.194565010825,3.98951481447,-4.46129536022,0.181631333914,4.89585681877,0.875690607735,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-007,1086,,True,3.5621112743,2.7540137935,8.5603422492,0.9032021113,-0.149229687367,3.5589840167,-4.15169305677,-0.304675228275,4.35166569867,0.913443830571,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-008,1086,,True,3.6429915934,2.7901153369,8.7686423211,0.9000091775,-0.328664952505,3.62813548511,-4.68110279715,-0.475320232222,4.21854036084,0.895027624309,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-009,1086,,True,3.77125391,2.8966014749,9.2273008813,0.8931898478,0.422276137898,3.74753771389,-4.0212457855,0.316800183347,4.84176189633,0.874769797422,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-010,1086,,True,3.6326316188,2.7887886965,7.8724860789,0.8909999408,-0.501319615235,3.59787313859,-4.68077916959,-0.475957054837,4.07895619724,0.909760589319,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-011,1086,,True,3.6936451162,2.7302908221,8.140908195,0.8928625242,-0.364153600635,3.67565047298,-4.80958749603,-0.210696894432,3.67339733084,0.899631675875,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-012,1086,,True,3.5544731055,2.6928594704,8.6185635429,0.8991417375,0.158018409194,3.55095891839,-4.31012504092,0.183194841636,4.21167123752,0.907918968692,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-013,1086,,True,3.6825271199,2.8453745761,9.1670599624,0.896944155,0.321454606451,3.66847010688,-4.32774473414,0.280894811977,4.7294497514,0.901473296501,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-014,1086,,True,3.4321588991,2.6568361979,7.564300089,0.9005445387,-0.370535648095,3.41209877384,-4.37486279765,-0.412787070187,3.70894324355,0.932780847145,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-015,1086,,True,3.8848547284,2.9810134985,9.8499782934,0.8848049661,0.510249311621,3.85120005984,-4.05974552161,0.499393648136,5.03490204342,0.887661141805,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-016,1086,,True,3.9945271973,2.8963178447,9.7090526178,0.8747207822,0.0686842248199,3.99393665541,-4.46852326784,-0.0241675876222,4.49072968486,0.891344383057,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-017,1086,,True,3.6684346119,2.836496316,8.5207365536,0.8966962711,-0.196330291204,3.66317716173,-4.56355277644,-0.257564312125,4.28905171414,0.895948434622,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-018,1086,,True,3.7958226531,2.8066975725,8.8234088655,0.8872403628,0.0352920161511,3.79565858418,-4.29357416099,0.112278494669,4.46500810779,0.890423572744,11.7229842228,,,,,,,,,,,,,
