horizon_windows,horizon_minutes,split,dimension,slice_value,rows,sufficient_support,deep_rmse,classical_rmse,rmse_delta_deep_minus_classical,deep_mae,classical_mae,mean_absolute_error_delta,deep_row_win_rate
1,30,validation,road_id,NL-011,1060,True,49.1426246495,52.2439569571,-3.1013323076,34.3520091201,35.4889356855,-1.1369265653,0.5
1,30,validation,road_id,NL-012,1060,True,38.6462402303,41.8592688408,-3.2130286105,27.0220884477,28.3572423785,-1.33515393081,0.515094339623
1,30,validation,road_id,NL-013,1060,True,41.5266806093,44.3996153741,-2.8729347648,29.5946720446,31.1297425184,-1.53507047382,0.534905660377
1,30,validation,road_id,NL-014,1060,True,63.932562904,65.3998208239,-1.4672579199,44.1237792047,44.2516177437,-0.127838539074,0.46320754717
1,30,validation,road_id,NL-015,1060,True,64.3428092204,67.2854394612,-2.9426302408,46.6221814777,47.9011409766,-1.27895949883,0.489622641509
1,30,validation,road_id,NL-016,1060,True,64.5317558786,68.2576328577,-3.7258769791,44.3855527017,46.7289693945,-2.34341669283,0.540566037736
1,30,validation,road_id,NL-017,1060,True,45.885605292,49.931188287,-4.045582995,32.5416468217,33.8570574529,-1.31541063122,0.472641509434
1,30,validation,road_id,NL-018,1060,True,42.596219882,44.8475014782,-2.2512815962,29.7304089833,30.4994838185,-0.769074835151,0.495283018868
1,30,validation,road_id,NL-019,1060,True,78.4409242389,82.1658743312,-3.7249500923,53.8731417217,56.249480948,-2.37633922622,0.52358490566
1,30,validation,road_id,NL-020,1060,True,42.6261101963,44.366348998,-1.7402388017,30.5150784064,30.3258350558,0.189243350561,0.441509433962
1,30,validation,road_id,NL-021,1060,True,52.3909629028,54.4055685326,-2.0146056298,36.6614567943,37.1322025952,-0.470745800915,0.487735849057
1,30,validation,road_id,NL-022,1060,True,50.7182565053,54.9073227764,-4.1890662711,34.8288416119,35.915790179,-1.08694856702,0.478301886792
1,30,validation,road_id,NL-023,1060,True,61.8947227755,64.7422630656,-2.8475402901,43.8411739787,44.9691609268,-1.12798694813,0.531132075472
1,30,validation,road_id,NL-024,1060,True,51.4239800597,54.1194353625,-2.6954553028,35.4735506031,36.9470116172,-1.47346101409,0.525471698113
1,30,validation,road_id,NL-025,1060,True,50.0126053516,52.0684188105,-2.0558134589,34.2069949757,34.9989173072,-0.791922331461,0.484905660377
1,30,validation,origin_hour,0,1100,True,24.4081682278,21.1743264063,3.2338418215,18.8772748832,16.2863229257,2.59095195745,0.416363636364
1,30,validation,origin_hour,1,1100,True,20.9228275717,19.3984426208,1.5243849509,16.4827750816,14.862387311,1.6203877706,0.425454545455
1,30,validation,origin_hour,2,1100,True,21.7813157152,20.6744763349,1.1068393803,16.5628179514,15.321733254,1.24108469736,0.449090909091
1,30,validation,origin_hour,3,1100,True,22.8246466198,21.7070515755,1.1175950443,17.4356014771,15.9972967682,1.43830470895,0.444545454545
1,30,validation,origin_hour,4,1125,True,23.5906491597,23.2920578326,0.2985913271,18.0058145386,17.4770749914,0.528739547203,0.501333333333
1,30,validation,origin_hour,5,1150,True,34.1931744155,34.0272996619,0.1658747536,25.2982699956,25.132447525,0.165822470608,0.489565217391
1,30,validation,origin_hour,6,1125,True,60.4720821318,62.8341944473,-2.3621123155,45.6194900064,47.2970660257,-1.67757601931,0.505777777778
1,30,validation,origin_hour,7,1100,True,91.9955593033,98.8662084718,-6.8706491685,69.2657691565,74.7085895875,-5.442820431,0.544545454545
1,30,validation,origin_hour,8,1100,True,101.776143315,105.936400674,-4.1602573587,76.1992532884,80.8312308108,-4.63197752243,0.550909090909
1,30,validation,origin_hour,9,1100,True,80.298812197,89.7863666091,-9.4875544121,61.0035910586,68.0469465076,-7.04335544903,0.561818181818
1,30,validation,origin_hour,10,1100,True,58.833450931,67.0105282528,-8.1770773218,43.7443885401,50.6130212849,-6.86863274482,0.590909090909
1,30,validation,origin_hour,11,1100,True,47.491184285,50.1388417087,-2.6476574237,35.9395812857,38.5159948048,-2.5764135191,0.562727272727
